SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
925IHFL25D,N6,1014.4,1014.4,1014.37,1014.37,1014.37,1028.25,50,50718.80,09-Jan-2025,2,INE121A07RH2
JYOTICNC,EQ,1366,1366,1303,1312.15,1307,1365.95,206566,273420065.80,09-Jan-2025,17048,INE980O01024
MKPL,BE,8,8,7.84,7.84,7.84,8,130081,1024449.12,09-Jan-2025,465,INE964W01021
849NTPC25,N7,5.31,5.35,5.31,5.34,5.34,5.31,272682,1456075.83,09-Jan-2025,68,INE733E07JP6
COALINDIA,EQ,381.55,381.55,370.8,372.2,372.95,380.35,6247612,2335905526.70,09-Jan-2025,113466,INE522F01014
EBBETF0433,EQ,1184,1184.21,1182.01,1183.9,1183.9,1183.84,3886,4596572.46,09-Jan-2025,43,INF754K01QX0
GLENMARK,EQ,1627.9,1635.45,1587.5,1593.3,1589.9,1627.9,349155,562751823.15,09-Jan-2025,24213,INE935A01035
SUPRAJIT,EQ,451.8,455.95,432.6,435.75,437.8,448.95,126450,55562806.70,09-Jan-2025,10931,INE399C01030
GROBTEA,EQ,1222.25,1249,1208.2,1231.95,1249,1219.3,376,459955.60,09-Jan-2025,63,INE646C01018
UNIMECH,EQ,1356.6,1359.6,1260.25,1301.45,1303,1353.9,769070,1004389932.35,09-Jan-2025,33602,INE0U3I01011
DALBHARAT,EQ,1795,1813.4,1775.8,1802.3,1806.8,1800.1,424042,763909529.00,09-Jan-2025,31773,INE00R701025
INDSWFTLTD,BE,29.26,29.9,28.13,28.65,28.99,29.34,66054,1926777.14,09-Jan-2025,390,INE788B01028
IITL,BE,310,311.45,293.95,311.45,311.45,296.65,101646,30516514.25,09-Jan-2025,222,INE886A01014
KIRLOSBROS,EQ,2229.8,2268,2115.25,2132.45,2140,2225.6,215198,472396739.80,09-Jan-2025,29074,INE732A01036
PNB,EQ,101.9,102.3,100.75,102.03,102,101.97,25169272,2556337988.69,09-Jan-2025,73602,INE160A01022
985ECL28,NK,985,985,985,985,985,980,40,39400.00,09-Jan-2025,2,INE804I079Y6
AFIL,EQ,78.91,79.89,76.01,76.96,76.75,78.29,231214,17823138.52,09-Jan-2025,2468,INE916Y01019
BALAMINES,EQ,1740.05,1980,1735.05,1909.05,1877,1741,3363611,6444361806.65,09-Jan-2025,215283,INE050E01027
BOMDYEING,EQ,178.55,178.7,171.76,172.54,172.9,177.75,920852,161338142.09,09-Jan-2025,16874,INE032A01023
CREATIVEYE,BE,7.35,7.35,7.35,7.35,7.35,7.5,11418,83922.30,09-Jan-2025,47,INE230B01021
824GS2027,GS,106.3,106.3,106.3,106.3,106.3,106.15,497,52831.10,09-Jan-2025,1,IN0020060078
HERCULES,BE,217.5,220,211,212.91,217,218.2,13519,2913293.57,09-Jan-2025,276,INE688E01024
TAKE,EQ,16,16,15.4,15.56,15.64,15.89,75295,1182070.26,09-Jan-2025,482,INE142I01023
SHARIABEES,EQ,538.22,538.5,531.9,533.47,532.16,536.99,3627,1939832.47,09-Jan-2025,296,INF732E01128
PDSL,EQ,590,600,569.7,573.8,574.5,583.9,97024,56601972.10,09-Jan-2025,7807,INE111Q01021
84TCHF28,NA,1016,1019.6,1016,1019.6,1019.6,1016,38,38716.00,09-Jan-2025,3,INE033L07GU2
NAGAFERT,EQ,9.19,9.61,9.05,9.1,9.12,9.1,963135,8937368.84,09-Jan-2025,1865,INE454M01024
ANYA,ST,17.25,17.9,16.8,17.25,17,17.65,1430000,24613000.00,09-Jan-2025,119,INE0SI601032
ATUL,EQ,6882.95,7020,6846.1,6917.6,6920,6848.75,67890,471758744.10,09-Jan-2025,17659,INE100A01010
AUBANK,EQ,566.95,573.4,563.45,570.05,571.6,566.45,3212356,1825488651.75,09-Jan-2025,64089,INE949L01017
BANSWRAS,EQ,144.78,144.78,135.6,137.57,136.48,140.4,24548,3403154.69,09-Jan-2025,775,INE629D01020
FORTIS,EQ,723.9,725,702,713.25,710.1,723.9,1000535,710995374.40,09-Jan-2025,57023,INE061F01013
GULFOILLUB,EQ,1148,1148,1118,1120.85,1125.9,1136.75,34726,39344625.20,09-Jan-2025,5118,INE635Q01029
THOMASCOOK,EQ,192.1,192.1,182.5,183.33,183.04,190.19,617697,114913775.55,09-Jan-2025,16636,INE332A01027
UJJIVANSFB,EQ,35.44,36.57,35.2,35.49,35.25,35.44,14518570,522301945.17,09-Jan-2025,43426,INE551W01018
YASHO,EQ,2036.55,2094.95,1997.55,2011.6,2000.2,2034.6,7856,15975293.30,09-Jan-2025,1620,INE616Z01012
PRATHAM,ST,224.9,224.9,212,212,212,215,19600,4285700.00,09-Jan-2025,32,INE0QA601016
PSPPROJECT,EQ,671,684.25,666,680.35,684.25,671.6,162512,110101963.05,09-Jan-2025,10657,INE488V01015
81TCHF28,N8,1017,1017,1006,1006,1006,1017,500,504925.75,09-Jan-2025,33,INE033L07GS6
LGHL,BE,524,540.55,519,531,534,514.85,722,388021.05,09-Jan-2025,65,INE258Y01016
ARCHIES,EQ,24.3,24.59,23.55,23.83,23.55,24.44,17466,419925.62,09-Jan-2025,215,INE731A01020
DELTAMAGNT,EQ,108.95,110.03,106.11,107.2,108.5,107.99,8904,961382.27,09-Jan-2025,429,INE393A01011
GANESHBE,EQ,132.29,142.48,132.11,137.25,137.1,131.23,218949,30370431.40,09-Jan-2025,4458,INE388A01029
STLTECH,EQ,112.5,113.64,110.55,111.14,111.6,112.84,492832,55290474.81,09-Jan-2025,7842,INE089C01029
TOUCHWOOD,EQ,150,152.8,141,147.92,152.4,146.54,25333,3735279.97,09-Jan-2025,1026,INE486Y01013
SHALBY,EQ,231.15,233.85,227.1,228.61,227.7,231.15,45767,10522264.19,09-Jan-2025,1546,INE597J01018
DHANBANK,BE,27.3,27.3,26.3,26.68,26.8,27.63,2041532,54304431.27,09-Jan-2025,3781,INE680A01011
ZFCVINDIA,EQ,11406,11542.25,11406,11454.25,11469.35,11459.3,13482,154872540.10,09-Jan-2025,2807,INE342J01019
PSUBNKBEES,EQ,69.56,71.6,69.21,69.7,69.85,70.6,5375323,374952916.56,09-Jan-2025,9423,INF204KB16I7
KAKATCEM,EQ,183.97,185.18,182.03,182.52,182.5,185.7,983,180097.91,09-Jan-2025,121,INE437B01014
KRITIKA,BE,10.81,11.25,10.81,11.17,11.18,10.94,161891,1795130.34,09-Jan-2025,781,INE00Z501029
MONTECARLO,EQ,759,759,715.1,719.15,721.65,749.8,29897,21805455.35,09-Jan-2025,2363,INE950M01013
DEEPAKFERT,EQ,1162,1242,1161.05,1179.2,1184,1160.95,1813706,2192810426.20,09-Jan-2025,76442,INE501A01019
GODHA,BE,1.12,1.14,1.08,1.08,1.09,1.14,3018493,3292001.38,09-Jan-2025,2593,INE925Y01036
364D130225,TB,99.4,99.4,99.4,99.4,99.4,98.69,400,39760.00,09-Jan-2025,1,IN002023Z489
HINDOILEXP,EQ,189.49,189.56,185.01,186.15,185.8,188.89,398105,74436104.49,09-Jan-2025,8086,INE345A01011
SHIVAUM,ST,250,250,250,250,250,250,50000,12500000.00,09-Jan-2025,20,INE719F01016
TCS,EQ,4101,4137.75,4025.3,4038.85,4044,4108.4,2392472,9746149398.35,09-Jan-2025,183446,INE467B01029
NUVAMA,EQ,6683.35,6723.95,6603,6619.5,6619.65,6669.85,35783,237833446.60,09-Jan-2025,10002,INE531F01015
IMAGICAA,EQ,70,72.83,70,70.73,70.51,70.56,734317,52501883.02,09-Jan-2025,10360,INE172N01012
KARNIKA,ST,372.4,372.4,372.4,372.4,372.4,380,1200,446880.00,09-Jan-2025,3,INE0MGA01012
KNAGRI,ST,272,278.35,270,275.2,277.75,272.25,11600,3172760.00,09-Jan-2025,17,INE0KNW01016
AURUMPP1,E1,220,220,202.3,213.2,214.5,216.6,6592,1428851.65,09-Jan-2025,40,IN9898S01027
BEARDSELL,EQ,40.1,40.95,39.96,40.58,40.5,39.86,54521,2212646.72,09-Jan-2025,708,INE520H01022
TEAMLEASE,EQ,2845.75,2850.35,2759.3,2771.45,2799,2833.9,9093,25505364.35,09-Jan-2025,3458,INE985S01024
WELSPUNLIV,EQ,154.07,155.67,150,150.37,150.6,154.79,1137492,172957484.18,09-Jan-2025,18415,INE192B01031
PERFECT,ST,18.05,18.05,18.05,18.05,18.05,19,39000,703950.00,09-Jan-2025,11,INE925S01012
RAJRATAN,EQ,506.9,506.9,485.4,487.35,487,507.7,23139,11400658.10,09-Jan-2025,1895,INE451D01029
SAMMAANCAP,EQ,159.15,159.27,153.36,156.01,156.1,159.15,4750347,739587274.30,09-Jan-2025,32246,INE148I01020
SBICARD,EQ,740,740,717.05,730.7,731.05,737.25,1008063,732596886.55,09-Jan-2025,44192,INE018E01016
KEC,EQ,1056.9,1064,1006.05,1012.45,1016,1049.4,1377957,1414224286.50,09-Jan-2025,70467,INE389H01022
LUMAXTECH,EQ,649.85,652.65,626.55,628.8,630,646.8,58820,37487629.15,09-Jan-2025,5096,INE872H01027
ABCAPITAL,EQ,179,179.03,173,173.52,174.29,178.91,2507589,439212440.66,09-Jan-2025,36301,INE674K01013
